epoch ：0
acc_rate : 0.188
acc_rate : 0.125
acc_rate : 0.438
acc_rate : 0.438
acc_rate : 0.688
acc_rate : 0.750
acc_rate : 0.750
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.812
acc_rate : 0.938
acc_rate : 0.688
acc_rate : 0.812
acc_rate : 0.875
acc_rate : 0.812
acc_rate : 0.875
acc_rate : 0.938
epoch ：1
acc_rate : 0.812
acc_rate : 0.875
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.812
acc_rate : 0.750
acc_rate : 0.812
acc_rate : 0.938
acc_rate : 0.875
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.875
acc_rate : 0.875
acc_rate : 0.875
epoch ：2
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.750
acc_rate : 1.000
acc_rate : 0.688
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.875
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.812
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
epoch ：3
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.812
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.812
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
epoch ：4
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
epoch ：5
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.812
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
epoch ：6
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
epoch ：7
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 0.812
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
epoch ：8
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
epoch ：9
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
epoch ：10
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
epoch ：11
acc_rate : 0.938
acc_rate : 0.875
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
epoch ：12
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
epoch ：13
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.812
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
epoch ：14
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
epoch ：15
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.875
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
epoch ：16
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
epoch ：17
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
epoch ：18
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 1.000
epoch ：19
acc_rate : 1.000
acc_rate : 0.875
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 0.938
acc_rate : 1.000
acc_rate : 1.000
acc_rate : 0.938
