epoch ：0
loss : 2.306
loss : 2.282
loss : 2.132
loss : 1.896
loss : 1.446
loss : 0.941
loss : 0.735
loss : 0.557
loss : 0.491
loss : 0.404
loss : 0.386
loss : 0.499
loss : 0.277
loss : 1.007
loss : 0.388
loss : 0.870
loss : 0.511
loss : 0.319
loss : 0.251
epoch ：1
loss : 0.425
loss : 0.416
loss : 0.486
loss : 0.155
loss : 0.191
loss : 0.317
loss : 0.155
loss : 0.196
loss : 0.363
loss : 0.632
loss : 0.908
loss : 0.389
loss : 0.189
loss : 0.173
loss : 0.275
loss : 0.210
loss : 0.489
loss : 0.261
loss : 0.300
epoch ：2
loss : 0.066
loss : 0.122
loss : 0.028
loss : 1.007
loss : 0.075
loss : 0.611
loss : 0.115
loss : 0.304
loss : 0.459
loss : 0.127
loss : 0.098
loss : 0.163
loss : 0.378
loss : 0.323
loss : 0.070
loss : 0.272
loss : 0.109
loss : 0.241
loss : 0.027
epoch ：3
loss : 0.204
loss : 0.149
loss : 0.029
loss : 0.175
loss : 0.380
loss : 0.110
loss : 0.104
loss : 0.174
loss : 0.387
loss : 0.218
loss : 0.028
loss : 0.144
loss : 0.357
loss : 0.408
loss : 0.145
loss : 0.047
loss : 0.032
loss : 0.356
loss : 0.076
epoch ：4
loss : 0.033
loss : 0.033
loss : 0.131
loss : 0.067
loss : 0.360
loss : 0.112
loss : 0.127
loss : 0.041
loss : 0.167
loss : 0.029
loss : 0.097
loss : 0.087
loss : 0.039
loss : 0.050
loss : 0.271
loss : 0.115
loss : 0.167
loss : 0.012
loss : 0.175
epoch ：5
loss : 0.045
loss : 0.056
loss : 0.158
loss : 0.094
loss : 0.022
loss : 0.020
loss : 0.071
loss : 0.513
loss : 0.025
loss : 0.038
loss : 0.033
loss : 0.122
loss : 0.634
loss : 0.052
loss : 0.029
loss : 0.065
loss : 0.071
loss : 0.202
loss : 0.174
epoch ：6
loss : 0.011
loss : 0.138
loss : 0.177
loss : 0.361
loss : 0.167
loss : 0.251
loss : 0.065
loss : 0.080
loss : 0.046
loss : 0.239
loss : 0.067
loss : 0.037
loss : 0.131
loss : 0.239
loss : 0.029
loss : 0.015
loss : 0.178
loss : 0.108
loss : 0.026
epoch ：7
loss : 0.035
loss : 0.261
loss : 0.060
loss : 0.276
loss : 0.034
loss : 0.059
loss : 0.037
loss : 0.132
loss : 0.047
loss : 0.072
loss : 0.086
loss : 0.024
loss : 0.045
loss : 0.084
loss : 0.043
loss : 0.085
loss : 0.015
loss : 0.218
loss : 0.091
epoch ：8
loss : 0.120
loss : 0.084
loss : 0.028
loss : 0.048
loss : 0.040
loss : 0.084
loss : 0.072
loss : 0.022
loss : 0.350
loss : 0.041
loss : 0.038
loss : 0.112
loss : 0.145
loss : 0.320
loss : 0.016
loss : 0.378
loss : 0.010
loss : 0.143
loss : 0.111
epoch ：9
loss : 0.078
loss : 0.239
loss : 0.027
loss : 0.037
loss : 0.041
loss : 0.052
loss : 0.041
loss : 0.022
loss : 0.197
loss : 0.007
loss : 0.085
loss : 0.048
loss : 0.288
loss : 0.027
loss : 0.090
loss : 0.117
loss : 0.094
loss : 0.091
loss : 0.156
epoch ：10
loss : 0.037
loss : 0.175
loss : 0.010
loss : 0.020
loss : 0.106
loss : 0.056
loss : 0.035
loss : 0.018
loss : 0.160
loss : 0.012
loss : 0.040
loss : 0.035
loss : 0.054
loss : 0.240
loss : 0.203
loss : 0.021
loss : 0.127
loss : 0.071
loss : 0.014
epoch ：11
loss : 0.107
loss : 0.370
loss : 0.204
loss : 0.201
loss : 0.059
loss : 0.107
loss : 0.017
loss : 0.102
loss : 0.084
loss : 0.051
loss : 0.099
loss : 0.087
loss : 0.034
loss : 0.189
loss : 0.131
loss : 0.026
loss : 0.457
loss : 0.127
loss : 0.277
epoch ：12
loss : 0.031
loss : 0.018
loss : 0.078
loss : 0.030
loss : 0.186
loss : 0.305
loss : 0.046
loss : 0.041
loss : 0.096
loss : 0.014
loss : 0.025
loss : 0.027
loss : 0.251
loss : 0.080
loss : 0.077
loss : 0.035
loss : 0.007
loss : 0.118
loss : 0.012
epoch ：13
loss : 0.171
loss : 0.292
loss : 0.040
loss : 0.064
loss : 0.056
loss : 0.039
loss : 0.328
loss : 0.149
loss : 0.155
loss : 0.125
loss : 0.193
loss : 0.148
loss : 0.152
loss : 0.273
loss : 0.064
loss : 0.292
loss : 0.095
loss : 0.093
loss : 0.016
epoch ：14
loss : 0.080
loss : 0.033
loss : 0.007
loss : 0.020
loss : 0.054
loss : 0.320
loss : 0.025
loss : 0.104
loss : 0.234
loss : 0.072
loss : 0.096
loss : 0.051
loss : 0.035
loss : 0.049
loss : 0.132
loss : 0.174
loss : 0.026
loss : 0.058
loss : 0.052
epoch ：15
loss : 0.012
loss : 0.022
loss : 0.096
loss : 0.012
loss : 0.057
loss : 0.021
loss : 0.050
loss : 0.085
loss : 0.017
loss : 0.162
loss : 0.064
loss : 0.027
loss : 0.049
loss : 0.018
loss : 0.123
loss : 0.225
loss : 0.279
loss : 0.031
loss : 0.106
epoch ：16
loss : 0.089
loss : 0.051
loss : 0.327
loss : 0.023
loss : 0.018
loss : 0.011
loss : 0.024
loss : 0.150
loss : 0.050
loss : 0.734
loss : 0.017
loss : 0.276
loss : 0.055
loss : 0.076
loss : 0.151
loss : 0.016
loss : 0.054
loss : 0.041
loss : 0.011
epoch ：17
loss : 0.021
loss : 0.015
loss : 0.061
loss : 0.041
loss : 0.082
loss : 0.099
loss : 0.070
loss : 0.060
loss : 0.026
loss : 0.063
loss : 0.096
loss : 0.051
loss : 0.234
loss : 0.111
loss : 0.062
loss : 0.061
loss : 0.019
loss : 0.151
loss : 0.048
epoch ：18
loss : 0.219
loss : 0.013
loss : 0.165
loss : 0.116
loss : 0.040
loss : 0.089
loss : 0.301
loss : 0.067
loss : 0.184
loss : 0.052
loss : 0.039
loss : 0.083
loss : 0.167
loss : 0.094
loss : 0.175
loss : 0.412
loss : 0.054
loss : 0.368
loss : 0.038
epoch ：19
loss : 0.020
loss : 0.243
loss : 0.084
loss : 0.052
loss : 0.093
loss : 0.018
loss : 0.037
loss : 0.075
loss : 0.019
loss : 0.011
loss : 0.089
loss : 0.044
loss : 0.051
loss : 0.167
loss : 0.055
