epoch ：0
loss : 2.317
acc_rate : 0.062
loss : 2.257
acc_rate : 0.188
loss : 2.171
acc_rate : 0.312
loss : 1.958
acc_rate : 0.625
loss : 1.695
acc_rate : 0.625
loss : 1.130
acc_rate : 0.688
loss : 1.263
acc_rate : 0.500
loss : 0.811
acc_rate : 0.750
loss : 0.841
acc_rate : 0.750
loss : 0.711
acc_rate : 0.688
loss : 0.450
acc_rate : 0.938
loss : 0.795
acc_rate : 0.812
loss : 0.455
acc_rate : 0.875
loss : 0.316
acc_rate : 1.000
loss : 0.588
acc_rate : 0.875
loss : 0.458
acc_rate : 0.875
loss : 0.627
acc_rate : 0.812
loss : 0.799
acc_rate : 0.812
loss : 0.225
acc_rate : 0.938
epoch ：1
loss : 0.211
acc_rate : 0.938
loss : 0.462
acc_rate : 0.875
loss : 1.124
acc_rate : 0.500
loss : 0.515
acc_rate : 0.938
loss : 0.551
acc_rate : 0.812
loss : 0.304
acc_rate : 0.875
loss : 0.254
acc_rate : 0.938
loss : 0.229
acc_rate : 0.938
loss : 0.171
acc_rate : 1.000
loss : 0.221
acc_rate : 0.938
loss : 0.450
acc_rate : 0.750
loss : 0.542
acc_rate : 0.812
loss : 0.094
acc_rate : 1.000
loss : 0.137
acc_rate : 1.000
loss : 0.118
acc_rate : 1.000
loss : 0.091
acc_rate : 1.000
loss : 0.243
acc_rate : 0.938
loss : 0.157
acc_rate : 0.938
loss : 0.190
acc_rate : 0.938
epoch ：2
loss : 0.068
acc_rate : 1.000
loss : 0.163
acc_rate : 0.938
loss : 0.366
acc_rate : 0.875
loss : 0.086
acc_rate : 1.000
loss : 0.241
acc_rate : 0.875
loss : 0.541
acc_rate : 0.875
loss : 0.139
acc_rate : 0.938
loss : 0.378
acc_rate : 0.875
loss : 0.128
acc_rate : 1.000
loss : 0.332
acc_rate : 0.875
loss : 0.044
acc_rate : 1.000
loss : 0.213
acc_rate : 0.938
loss : 0.495
acc_rate : 0.875
loss : 0.071
acc_rate : 1.000
loss : 0.121
acc_rate : 0.938
loss : 0.186
acc_rate : 0.875
loss : 0.263
acc_rate : 0.812
loss : 0.189
acc_rate : 0.875
loss : 0.199
acc_rate : 0.875
epoch ：3
loss : 0.242
acc_rate : 0.875
loss : 0.122
acc_rate : 1.000
loss : 0.068
